wv,removed
4655.54042,0.990931931
4655.55238,0.986028709
4655.56434,0.984499574
4655.5763,0.979345831
4655.58825,0.960553283
4655.60021,0.930129188
4655.61217,0.885898588
4655.62413,0.830831847
4655.63609,0.781900283
4655.64805,0.744424207
4655.66001,0.729911394
4655.67197,0.757578798
4655.68393,0.804335278
4655.69589,0.837464129
4655.70785,0.863996773
4655.71981,0.888453203
4655.73177,0.88590014
4655.74373,0.872375498
4655.75569,0.858239077
4655.76765,0.83580153
4655.77961,0.826533191
4655.79157,0.832782652
4655.80353,0.847267404
4655.81549,0.873290166
4655.82745,0.902076532
4655.83941,0.917115796
4655.85137,0.94182402
4655.86334,0.954636508
4655.8753,0.964649556
4655.88726,0.97556133
4655.89922,0.972820233
4655.91118,0.966624148
4655.92314,0.967482572
4655.9351,0.967058977
4655.94706,0.958277116
4655.95902,0.968157838
4655.97098,0.951989229
4655.98295,0.959801635
4655.99491,0.943411631
4656.00687,0.93784587
4656.01883,0.899743395
4656.03079,0.879308027
4656.04275,0.864991396
4656.05472,0.86519556
4656.06668,0.882370033
4656.07864,0.904035917
4656.0906,0.928136142
4656.10256,0.955321738
4656.11452,0.932204923
4656.12649,0.924962922
4656.13845,0.896368712
4656.15041,0.836836814
4656.16237,0.789043529
4656.17434,0.746899555
4656.1863,0.731223563
4656.19826,0.740587849
4656.21022,0.783241133
4656.22219,0.828360902
4656.23415,0.873659306
4656.24611,0.920969022
4656.25807,0.940180135
4656.27004,0.96859063
4656.282,0.977457793
4656.29396,0.984231381
4656.30593,0.988225246
4656.31789,0.990990873
4656.32985,0.985935141
4656.34181,0.98256849
4656.35378,0.984755978
4656.36574,0.972225167
4656.3777,0.939801257
4656.38967,0.883296826
4656.40163,0.831257954
4656.4136,0.732617258
4656.42556,0.619671634
4656.43752,0.497808996
4656.44949,0.395607166
4656.46145,0.329102625
4656.47341,0.300241847
4656.48538,0.346379793
4656.49734,0.441471723
4656.50931,0.57465878
4656.52127,0.697643169
4656.53323,0.803029537
4656.5452,0.872449469
4656.55716,0.906064842
4656.56913,0.930742385
4656.58109,0.939643372
4656.59306,0.94290957
4656.60502,0.946981455
4656.61699,0.95687869
4656.62895,0.960423438
4656.64091,0.96142934
4656.65288,0.956337351
4656.66484,0.963279521
4656.67681,0.96979363
4656.68877,0.96265177
4656.70074,0.978549345
4656.7127,0.986735974
4656.72467,0.970987045
4656.73663,0.978274278
4656.7486,0.983497256
4656.76056,0.993450644
4656.77253,0.997739804
4656.7845,0.995981505
4656.79646,0.985304965
4656.80843,0.969879529
4656.82039,0.978456099
4656.83236,0.98222972
4656.84432,0.980873206
