AFS.py,AFS.R,wv,AFS_rpy.py
0.69122262,0.688215852,4989.959938,0.688215852
0.665185794,0.66232178,4989.971055,0.66232178
0.681114862,0.678212186,4989.982172,0.678212186
0.706807668,0.703826258,4989.993288,0.703826258
0.733255721,0.730194362,4990.004404,0.730194362
0.7880625,0.784805974,4990.015518,0.784805974
0.830836228,0.827438098,4990.026633,0.827438098
0.886051106,0.882464274,4990.037746,0.882464274
0.90712798,0.903493479,4990.048859,0.903493479
0.933120551,0.929420272,4990.059972,0.929420272
0.938724435,0.935040156,4990.071083,0.935040156
0.959367903,0.955641298,4990.082195,0.955641298
0.983508967,0.979727871,4990.093305,0.979727871
0.985188273,0.981439694,4990.104415,0.981439694
0.984096909,0.980391035,4990.115524,0.980391035
0.997339604,0.993622556,4990.126633,0.993622556
0.972290486,0.96870415,4990.137741,0.96870415
0.988464243,0.984855853,4990.148848,0.984855853
0.989772599,0.986196721,4990.159955,0.986196721
0.990680097,0.987137894,4990.171061,0.987137894
1.00074387,0.997202648,4990.182167,0.997202648
0.991903614,0.988429947,4990.193272,0.988429947
1.007448514,1.003956884,4990.204376,1.003956884
0.994129026,0.990719196,4990.21548,0.990719196
0.994821594,0.991444691,4990.226583,0.991444691
0.998337291,0.99498353,4990.237686,0.99498353
0.983495751,0.980226052,4990.248788,0.980226052
1.006172142,1.002861693,4990.259889,1.002861693
0.998881382,0.99562896,4990.27099,0.99562896
0.996761124,0.993549228,4990.28209,0.993549228
0.985398338,0.982255954,4990.293189,0.982255954
0.998673709,0.99552199,4990.304288,0.99552199
0.987321193,0.98423759,4990.315386,0.98423759
0.993252912,0.990182931,4990.326484,0.990182931
0.991321938,0.988289678,4990.337581,0.988289678
0.973033159,0.97008768,4990.348677,0.97008768
0.976543221,0.973617746,4990.359773,0.973617746
0.958725314,0.955882971,4990.370868,0.955882971
0.939074949,0.936319701,4990.381963,0.936319701
0.949355125,0.946598558,4990.393057,0.946598558
0.981774676,0.978953486,4990.40415,0.978953486
0.966714462,0.963965297,4990.415243,0.963965297
0.976866243,0.974116947,4990.426335,0.974116947
0.974275747,0.971562096,4990.437427,0.971562096
0.987449334,0.984727414,4990.448517,0.984727414
1.002987747,1.000251557,4990.459608,1.000251557
1.005586941,1.002871979,4990.470697,1.002871979
1.005021657,1.002336215,4990.481786,1.002336215
1.000345082,0.997699695,4990.492875,0.997699695
1.018466327,1.015800765,4990.503963,1.015800765
1.009406646,1.006794066,4990.51505,1.006794066
0.997508174,0.994955134,4990.526136,0.994955134
1.00701427,1.004465611,4990.537222,1.004465611
1.003762843,1.001250726,4990.548308,1.001250726
0.99866903,0.996197527,4990.559392,0.996197527
0.996455552,0.994017034,4990.570477,0.994017034
1.007465167,1.005027212,4990.58156,1.005027212
1.00955409,1.007138346,4990.592643,1.007138346
1.004124101,1.001781462,4990.603725,1.001781462
1.008078294,1.005786374,4990.614807,1.005786374
0.990543009,0.988349457,4990.625888,0.988349457
1.002909989,1.00074788,4990.636968,1.00074788
0.99376127,0.991676783,4990.648048,0.991676783
0.986116546,0.984105164,4990.659128,0.984105164
0.991302373,0.989337385,4990.670206,0.989337385
0.990188172,0.988281917,4990.681284,0.988281917
0.985839141,0.983997156,4990.692362,0.983997156
0.985243009,0.983457615,4990.703438,0.983457615
0.959418309,0.957733375,4990.714515,0.957733375
0.970544805,0.968894239,4990.72559,0.968894239
0.961832292,0.960249607,4990.736665,0.960249607
0.969480314,0.967938162,4990.747739,0.967938162
0.937868977,0.936428148,4990.758813,0.936428148
